learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;81;2024-01-14 11:21:31;3,5;4,0;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;82;2024-01-14 11:21:31;3,5;3,99;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;83;2024-01-14 11:21:31;3,49;3,99;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;84;2024-01-14 11:21:31;3,49;4,01;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;85;2024-01-14 11:21:31;3,49;4,01;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;86;2024-01-14 11:21:31;3,48;3,99;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;87;2024-01-14 11:21:31;3,48;4,0;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;88;2024-01-14 11:21:31;3,47;3,99;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;89;2024-01-14 11:21:31;3,47;3,98;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;90;2024-01-14 11:21:31;3,47;3,99;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;91;2024-01-14 11:21:31;3,46;4,04;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;92;2024-01-14 11:21:31;3,46;3,98;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;93;2024-01-14 11:21:31;3,45;3,98;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;94;2024-01-14 11:21:31;3,45;4,0;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;95;2024-01-14 11:21:31;3,45;3,99;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;96;2024-01-14 11:21:31;3,44;3,97;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;97;2024-01-14 11:21:31;3,44;3,96;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;98;2024-01-14 11:21:31;3,43;3,96;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;99;2024-01-14 11:21:31;3,43;3,95;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;100;2024-01-14 11:21:31;3,43;3,96;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;101;2024-01-14 11:21:31;3,42;3,98;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;102;2024-01-14 11:21:31;3,42;3,99;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;103;2024-01-14 11:21:31;3,42;3,95;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;104;2024-01-14 11:21:31;3,41;3,96;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;105;2024-01-14 11:21:31;3,41;3,97;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;106;2024-01-14 11:21:31;3,41;3,93;0,79
